hemisphere,nday,min,q1,mean,median,q3,max
south,355,7.108,8.14825,8.87195,8.95,9.466999999999999,11.197
south,356,6.874,8.1415,8.6928,8.651,9.14725,10.966
south,357,6.445,7.709,8.439625,8.483,9.07975,10.737
south,358,6.158,7.724,8.249725,8.2355,8.835,10.566
south,359,5.846,7.398999999999999,8.033325,8.0375,8.6485,10.365
south,360,5.677,7.331250000000001,7.85115,7.849,8.32725,10.104
south,361,5.509,6.99325,7.631975,7.593999999999999,8.144250000000001,9.832
south,362,5.144,6.96325,7.452625,7.386,7.774500000000001,9.701
south,363,4.947,6.669,7.23465,7.197,7.68675,9.605
south,364,4.807,6.5865,7.064425,7.0615000000000006,7.48125,9.508
south,365,5.653,6.483499999999999,6.8657,6.9175,7.22725,8.029
